miR-4429	4
CDKN1A	0
TGFB1	0
ZEB1	1
MIF	0
miR-448	4
IDO1	0
GSK3B	0
CASP3	0
CASP9	0
miR-133a	4
PKM	0
MMP9	0
miR-216a-5p	4
miR-3200	4
BMI1	0
miR-301a	4
miR-203	4
CDK14	0
VEGFA	0
TNFAIP3	0
YAP1	0
FOXM1	1
miR-129-5p	4
PHGDH	0
RUNX3	1
HMGB1	1
CDH1	0
ELAVL1	0
NRP1	0
STAT3	1
CASP1	0
LATS1	0
miR-29c	4
miR-126	4
PANDAR	3
LINC00174	3
TAZ	0
EZH2	0
miR-196a-5p	4
DAPK1	0
miR-21	4
ATG5	0
miR-33a-5p	4
RP11-838N2.4	3
PPARG	1
miR-31	4
miR-24-3p	4
TRERNA1	3
SMAD2	1
SMAD3	1
SMAD4	1
miR-378a-3p	4
WNT1	0
MYCNOS-01	3
ULK1	0
miR-142-3p	4
EZR	0
LIN28B	1
GALNT7	0
ABCB1	0
RUNX1	1
AKT3	0
IGF2	0
miR-138	4
MTOR	0
VIM	0
CDH2	0
MKI67	0
HOXB7	1
TUG1	3
SOX4	1
PLXNC1	0
CASC2	3
miR-181a	4
RASSF6	0
PIAS3	1
FBXW7	0
miR-362-5p	4
EIF4A3	0
ING3	0
FGFR1	0
PDCD4	0
miR-33a	4
BIRC7	0
CPEB2	0
BCL2L1	0
ZFX	1
ADAM17	0
CDK1	0
miR-145	4
miR-424	4
FOXA1	1
CTNNB1	0
KLF12	1
miR-143	4
RUNX2	1
RTKN	0
HOXA3	1
EPHA2	0
MUC5AC	0
miR-223	4
miR-124-3p	4
CCND1	0
TP53	1
SNAI1	1
SNAI2	1
NUAK1	0
TCF7	1
SOX9	1
NFKB1	1
NR4A3	1
FAT4	0
miR-494	4
TGFBR1	0
TGFBR2	0
miR-195	4
LITAF	1
ATM	0
E2F1	1
AGPAT2	0
miR-202-5p	4
NAMPT	0
ANGPTL4	0
TIMMDC1	0
MDM2	0
DHX9	0
RING1	0
NOTCH1	0
ITGA6	0
MAPK6	0
AFAP1	0
miR-224-3p	4
ST8SIA4	0
MAPK1	0
miR-761	4
FOXK1	1
LIN28A	1
miR-26b	4
NDRG1	0
miR-497	4
ESRP2	0
SDAD1	0
TMPO-AS1	3
SMAD7	1
UCA1	3
ARHGAP18	0
KLF13	1
FZD7	0
NAP1L1	0
OIP5	0
HCCL5	3
LUCAT1	3
CXCR4	0
SPHK2	0
CDK6	0
ROCK1	0
HMGA2	1
miR-323b-5p	4
TLR4	0
MYD88	0
RELA	1
JAG2	0
AXIN2	0
ZEB2	1
miR-96	4
TPM1	0
miR-26a	4
HIF1A	1
LEF1	1
FOXO6	1
NBAT1	3
miR-185-5p	4
FOXP1	1
AKT1	0
CCL2	0
HNF1A-AS1	3
HES1	1
PTEN	0
E2F3	1
E2F7	1
MMP2	0
HOXA5	1
miR-146a	4
KLF16	1
miR-214-3p	4
MAP1LC3B	0
ATG3	0
ATG7	0
MALAT1	3
miR-6754-5p	4
SOCS1	0
miR-194-5p	4
MYC	1
HOXA10	1
SIM2	0
IL1RAP	0
KLF2	1
TWIST1	1
IGF2BP2	0
ACVR2B	0
CDC34	0
miR-519d-3p	4
MAPK3	0
MAPK8	0
YBX1	1
MEG3	3
SMO	0
KDM2A	0
TRAF3IP2	0
miR-330-5p	4
CDKN1C	0
MCL1	0
SP1	1
miR-219a-5p	4
miR-423-5p	4
PABPC1	0
MET	0
GREM1	0
FOXO3	1
CCL5	0
GCSAM	0
CDKN2B	0
CCND2	0
miR-342-3p	4
CD274	0
miR-191	4
DUXAP9	3
GADD45A	0
miR-218	4
miR-143-3p	4
miR-125a-5p	4
miR-34a	4
miR-150	4
miR-20a	4
miR-125b	4
miR-106b	4
miR-124	4
BCL2	0
FASN	0
miR-9	4
miR-29b	4
CRP	0
FSCN1	0
let-7family	4
DNMT3A	0
miR-125b-5p	4
GFRA1	0
FOXO1	1
miR-10a	4
miR-23a	4
miR-101	4
RAD18	0
HK2	0
miR-204	4
FOXQ1	1
SPAG9	0
let-7b	4
GAB2	0
TPT1	0
RAD51	0
LINP1	3
MEF2D	1
RND3	0
HOXA7	1
NOD2	0
DDX5	0
ST7L	0
miR-182	4
LATS2	0
HOXB13	1
miR-324-3p	4
HOPX	1
NFE2L1	1
KEAP1	1
AURKA	0
BRD4	0
SIAH1	0
ICAM1	0
miR-155-5p	4
XIST	3
miR-506	4
miR-203a	4
TRIP13	0
MTA1	1
TIMP2	0
KPNA3	0
LSINCT5	3
IL6	0
IGF1R	0
HNRNPK	0
S100A1	0
miR-200c	4
SIRT1	0
HOTAIR	3
CDC20	0
CCNB1	0
MYCN	1
PTPN6	0
let-7a	4
NKD1	0
PI3K	0
miR-152	4
miR-5059	4
HMOX1	0
RAB1A	0
miR-17-5p	4
SGK1	0
miR-216b	4
miR-148b	4
miR-206	4
MRTFA	0
CHUK	0
FAIM2	0
PPP1R13L	0
BAX	0
NXF3	0
miR-122-5p	4
EGFR	0
miR-196	4
RHOC	0
ERBB2	0
miR-320	4
NLRP3	0
HAND2	1
NMU	0
miR-122	4
FEZF1	1
NFKBIA	0
KIT	0
SLC7A5	0
miR-574-5p	4
HAGLROS	3
RHEB	0
NOTCH2	0
miR-211-3p	4
miR-185	4
LINC00176	3
CCAT2	3
FZD4	0
GAS5	3
BRCA1	0
miR-130b	4
FBXW8	0
EPCAM	0
BECN1	0
JAK2	0
miR-216a	4
HOXA1	1
ABCC1	0
INCENP	0
RHOA	0
RPS6KB1	0
RCC2	0
GLP1R	0
BCL2L11	0
miR-203a-3p	4
miR-424-5p	4
PRMT5	0
CDC42	0
miR-335-5p	4
NPTN-IT1	3
miR-21-5p	4
NOB1	0
TFAM	1
miR-134-5p	4
miR-320a	4
HES2	1
miR-219-1	4
ZIC2	1
miR-214	4
DANCR	3
PBX1	1
miR-133a-3p	4
MYO6	0
miR-27b	4
miR-199a	4
HOXA9	1
SF1	0
RNF144B	0
IRS1	0
miR-222	4
miR-503	4
FGF2	0
DIRAS3	0
BRI3	0
SCAI	0
FGFR3	0
PDGFRA	0
HDAC4	0
ATG12	0
miR-940	4
miR-200b	4
miR-200a	4
miR-429	4
PVT1	3
miR-135a	4
miR-224-5p	4
ILF2	0
GRK2	0
PGK1	0
SOX2	1
ADH4	0
MT1F	0
BCL2L2	0
MMP13	0
ITGB1	0
ITPKB	0
CAPNS1	0
DNMT3B	0
miR-613	4
ATF1	1
ABCB4	0
AXL	0
miR-144	4
miR-140-5p	4
CDKN2A	0
HAS2	0
miR-93	4
DNMT1	0
miR-147a	4
IGFBP4	0
HOXA13	1
miR-135b	4
CUL4A	0
WWOX	0
ELF2	1
TIMP3	0
ARID1A	1
MGMT	0
miR-128	4
IGF2BP1	0
LINC00312	3
CKS1B	0
ID2	1
CADM1	0
SLC2A1	0
CDK4	0
COX2	0
HAGLR	3
DUSP5	0
TOP2A	0
XIAP	0
miR-200s	4
RAP1B	0
miR-106a-5p	4
ARHGAP11A	0
RGS3	0
miR-141	4
SOX7	1
miR-150-5p	4
miR-520c-3p	4
PDK1	0
CDKN1B	0
PCNA	0
AIFM2	0
KMT5A	0
miR-101-3p	4
miR-100	4
MIR100HG	3
PCAT1	3
CRKL	0
DUSP7	0
LRP2BP	0
JUNB	1
VEGFC	0
BNIP3	0
miR-145-5p	4
RAB11B	0
WNT2B	0
PRKAA1	0
TGFA	0
GIT1	0
EEF2K	0
S100A4	0
IRX5	1
GPC3	0
IRF7	1
ZHX1	1
HILPDA	0
CCNE2	0
HOXA11	1
ATG14	0
NPR3	0
CARD11	0
RAB11A	0
SHH	0
LOXL2	0
USF1	1
WNT3A	0
miR-147	4
LGR5	0
TCF4	1
MAP1LC3A	0
LNCRNA-ATB	3
CDK5R1	0
SPINT1	0
F10	0
CPEB1	0
lncWDR59	3
miR-199b	4
miR-148a	4
SLC6A4	0
PARP1	0
miR-137	4
COL1A1	0
RASAL1	0
miR-221	4
PUM2	0
BDNF	0
PAX6	1
SREBF1	1
PTBP1	0
miR-382-5p	4
miR-575	4
RGMB-AS1	3
FAS	0
G6PD	0
FOXF1	1
miR-184	4
HOTTIP	3
EBF3	1
BCR-ABL	0
S100A7	0
miR-30c	4
miR-197-3p	4
MMP3	0
miR-770-5p	4
SRGAP1	0
SLC7A11	0
miR-488-3p	4
HDAC1	0
DDX23	0
HMGA1	1
miR-432	4
FOXC1	1
MIR99AHG	3
miR-18a	4
LRRK2	0
ADAMTS5	0
SOX8	1
AKT2	0
let-7c	4
miR-455-3p	4
