1700020I14Rik	ceRNA or sponge	CGRP
17beta-E2	transcriptional regulation	LINC01541
7SK	interact with protein	CDC6
91H	epigenetic regulation	H19
A1BG-AS1	ceRNA or sponge	SMAD7
A1CF	transcriptional regulation	FAM224A
A2M-AS1	expression association	CD2
A2M-AS1	expression association	IL1R2
A2M-AS1	expression association	SELL
AATBC	expression association	CASP3
AATBC	expression association	CASP9
AATBC	expression association	CDKN2C
AATBC	expression association	MAPK8
AB073614	expression association	AKT1
AB073614	expression association	SOX7
AB074278	interact with protein	EMP1
AB209371	ceRNA or sponge	SNAI1
ABALON	expression association	BCL2L1
ABHD11-AS1	ceRNA or sponge	SLC1A5
ABHD11-AS1	ceRNA or sponge	WNT11
ABHD11-AS1	transcriptional regulation	TIMP2
ABL1	expression association	HOTAIR
AC003092.1	ceRNA or sponge	TFPI2
AC005592.2	transcriptional regulation	OLFM4
AC007271.3	expression association	CTNNB1
AC009084.3	ceRNA or sponge	MUC2
AC010789.1	ceRNA or sponge	ZEB1
AC012213.3	transcriptional regulation	RAD54B
AC016405.3	ceRNA or sponge	TET2
AC016745.3	expression association	AR
AC016745.3	expression association	NONO
AC024560.2	ceRNA or sponge	SIRT1
AC078922.1	ceRNA or sponge	miR-31
AC091729.7	interact with protein	SRSF2
AC093818.1	expression association	PDPK1
AC096664.3	expression association	ABCG1
AC096664.3	transcriptional regulation	PPARG
AC114812.8	ceRNA or sponge	FUT4
AC123023.1	expression association	JAG2
AC132217.4	interact with mRNA	IGF2
ACTA2-AS1	ceRNA or sponge	BCL2L11
ACTA2-AS1	ceRNA or sponge	CXCL2
ACTA2-AS1	ceRNA or sponge	GRB2
ACTA2-AS1	expression association	MAPK
ACTG1P25	epigenetic regulation	PFKFB3
ADAMTS9-AS1	ceRNA or sponge	PRDM16
ADAMTS9-AS2	ceRNA or sponge	EZH2
ADAMTS9-AS2	ceRNA or sponge	FOXF2
ADAMTS9-AS2	ceRNA or sponge	PHLPP2
ADAMTS9-AS2	epigenetic regulation	CDH3
ADAMTS9-AS2	expression association	ADAMTS9
ADAMTS9-AS2	expression association	miR-130a-5p
ADIPOQ	ceRNA or sponge	TP53
ADPGK-AS1	ceRNA or sponge	KDM1B
ADPGK-AS1	ceRNA or sponge	OTX1
ADPGK-AS1	expression association	miR-542-3p
AF113014	ceRNA or sponge	EGR2
AF119895	ceRNA or sponge	NXF3
AF131217.1	ceRNA or sponge	KLF4
AFAP1-AS1	ceRNA or sponge	E2F3
AFAP1-AS1	ceRNA or sponge	NUDT1
AFAP1-AS1	ceRNA or sponge	RAI14
AFAP1-AS1	ceRNA or sponge	RAP1B
AFAP1-AS1	ceRNA or sponge	miR-195
AFAP1-AS1	ceRNA or sponge	miR-512-3p
AFAP1-AS1	expression association	AFAP1
AFAP1-AS1	expression association	ARHGDIA
AFAP1-AS1	expression association	DUSP5
AFAP1-AS1	expression association	HBP1
AFAP1-AS1	expression association	IRF7
AFAP1-AS1	expression association	RAB11A
AFAP1-AS1	expression association	RAB1B
AFAP1-AS1	expression association	RAC2
AFAP1-AS1	expression association	RhoGD
AFAP1-AS1	interact with protein	RBM5
AFAP1-AS1	transcriptional regulation	KAT2B
AFAP1-AS1	transcriptional regulation	TIF1¦Á
AFAP1-AS2	ceRNA or sponge	miR-545
AGAP2-AS1	ceRNA or sponge	AKT3
AGAP2-AS1	ceRNA or sponge	ANXA11
AGAP2-AS1	ceRNA or sponge	CFL1
AGAP2-AS1	ceRNA or sponge	CPT1
AGAP2-AS1	ceRNA or sponge	JDP2
AGAP2-AS1	epigenetic regulation	ANGPTL4
AGAP2-AS1	epigenetic regulation	ANKRD1
AGAP2-AS1	epigenetic regulation	LATS2
AGAP2-AS1	interact with protein	KDM1A
AGER	ceRNA or sponge	miR-185
AGER-1	ceRNA or sponge	AGER
AGO2	ceRNA or sponge	CBL
AGO2	ceRNA or sponge	FASLG
AGO2	ceRNA or sponge	miR-92a
AK001796	expression association	MDM2
AK002107	ceRNA or sponge	TGFBR1
AK002210	ceRNA or sponge	NAIP
AK006025	transcriptional regulation	CXCL11
AK006025	transcriptional regulation	MIR675
AK022798	expression association	ABCC1
AK022798	expression association	CASP8
AK027294	expression association	EZH1
AK039862	expression association	FOXA1
AK039862	expression association	PAFAH1B1
AK058003	expression association	SNCG
AK093407	interact with protein	STAT3
AK094457	expression association	ET-1
AK094457	expression association	p-eNOS
AK097647	transcriptional regulation	IFN-¦Ë1
AK126698	expression association	CTNNB1
AK126698	expression association	NKD2
AK131850	expression association	TGFB1
AK136714	interact with protein	ELAVL1
AKT1	epigenetic regulation	LINC01546
AL049437	ceRNA or sponge	MAPK1
AL163636.1	interact with protein	EGFR
AL355711	transcriptional regulation	ABCG1
AL589986.2	interact with protein	DHX9
ALKBH5	epigenetic regulation	NEAT1
ALMS1-IT1	transcriptional regulation	RELA
ANCR	epigenetic regulation	CDKN1A
AND2-AS1	transcriptional regulation	RUNX2
ANKRD40CL	ceRNA or sponge	ETS1
ANKRD40CL	ceRNA or sponge	FMNL2
ANKRD40CL	ceRNA or sponge	RGS17
AOC4P	expression association	MAPK3
AOC4P	expression association	p38
AP000439.3	expression association	CCND1
AP002754.2	expression association	RAPSN
AP2¦Ã	transcriptional regulation	LINC00511
APC1	interact with protein	RAB5B
APF	ceRNA or sponge	ATG7
APTR	ceRNA or sponge	YAP1
APTR	ceRNA or sponge	miR-126
AR	expression association	PCAT18
ARAP1-AS1	ceRNA or sponge	NOTCH2
ARAP1-AS2	transcriptional regulation	ARAP1
ARFRP1	ceRNA or sponge	TLR4
ARHGAP27P1	epigenetic regulation	CDKN1C
ARHGAP27P1	epigenetic regulation	p15
ARHGAP27P1	epigenetic regulation	p16
ARHGAP5-AS1	interact with protein	SMAD7
ARID1B	expression association	HOXA-AS2
ARSR	expression association	STAT3
ASB16-AS1	ceRNA or sponge	TEAD1
ASB16-AS1	ceRNA or sponge	WNT2
ASLNCS5088	ceRNA or sponge	GLS
ASMTL-AS1	ceRNA or sponge	FOXO1
ASMTL-AS1	ceRNA or sponge	LAMC1
ATB	ceRNA or sponge	CDK2
ATB	ceRNA or sponge	miR-200
ATP2B1-AS1	ceRNA or sponge	MIR4729
ATP2B1-AS1	ceRNA or sponge	ZC3H12A
ATXN8OS	ceRNA or sponge	miR-204
AU021063	expression association	TRIB3
AV310809	expression association	CTNNB1
AWPPH	ceRNA or sponge	DKK2
AWPPH	ceRNA or sponge	FZD7
AY927529	expression association	CXCL14
AZIN2-sv	epigenetic regulation	PTEN
Ahit	epigenetic regulation	MEF2A
Ang262	ceRNA or sponge	miR©\221
Ang262	ceRNA or sponge	miR©\222
B3GALT5-AS1	transcriptional regulation	miR-203
B4GALT1-AS1	ceRNA or sponge	FOXA1
BABAM2-AS1	transcriptional regulation	NR4A3
BACE1-AS	ceRNA or sponge	BACE1
BACE1-AS	ceRNA or sponge	CELF1
BALR-6	expression association	SP1
BAN	expression association	BCAM
BANCR	ceRNA or sponge	IGF1R
BANCR	ceRNA or sponge	miR-195-5p
BANCR	epigenetic regulation	TSHR
BANCR	epigenetic regulation	miR<U+2011>34c
BANCR	expression association	MAP1LC3A
BANCR	expression association	MAP1LC3B
BANCR	expression association	MMP1
BBOX1-AS1	ceRNA or sponge	HOXC6
BC032469	ceRNA or sponge	TERT
BC050642	expression association	MYC
BCAR4	ceRNA or sponge	TLX1
BCAR4	ceRNA or sponge	WNT7A
BCAR4	epigenetic regulation	GLI2
BCAR4	expression association	ERBB3
BCAR4	interact with protein	PPP1R10
BCAR4	interact with protein	SNIP1
BCLAF1	transcriptional regulation	NEAT1
BCYRN1	ceRNA or sponge	TAZ
BCYRN1	ceRNA or sponge	miR-204-5p
BCYRN1	chromatin looping	WNT5A
BDNF-AS	epigenetic regulation	GSK-3beta
BDNF-AS	expression association	BDNF
BDNF-AS	expression association	CDC42
BDNF-AS	expression association	Caspase3
BDNF-AS	expression association	RAX2
BFAL1	ceRNA or sponge	RHEB
BG981369	expression association	SOX4
BGLT3	ceRNA or sponge	PTEN
BHLHE40	transcriptional regulation	LINC00458
BIRC7	expression association	LNCRNA-ATB
BISPR	expression association	miR-21-5p
BLACAT1	ceRNA or sponge	ABCB1
BLACAT1	ceRNA or sponge	CCR2
BLACAT1	ceRNA or sponge	VASP
BLACAT1	ceRNA or sponge	has-miR-485-5p
BLACAT1	ceRNA or sponge	miR-142-5p
BLACAT1	ceRNA or sponge	miR-144
BLACAT1	ceRNA or sponge	miR-519d-3p
BLACAT1	epigenetic regulation	MRPL28
BLACAT1	expression association	PSEN1
BLACAT1	expression association	Wnt/beta-catenin
BLACAT1	expression association	miR-424
BLACAT1	interact with mRNA	TIMM8A
BM450697	expression association	LDLR
BOK-AS1	expression association	BOK
BOK-AS1	expression association	CCN4
BORG	interact with protein	RPA1
BRCA1	transcriptional regulation	NEAT1
BRD3OS	ceRNA or sponge	Endophilin-1
BRD3OS	expression association	MEM
BRD4	expression association	MANCR
BRE-AS1	ceRNA or sponge	miR-145-5p
BTG3-AS1	expression association	miR-21
BX357664	expression association	HSPB1
C1QTNF1-AS1	ceRNA or sponge	SOCS3
C2dat1	ceRNA or sponge	SIRT1
C2orf92	ceRNA or sponge	MIR1972-1
C3orf85	expression association	ACLY
C5orf66-AS1	ceRNA or sponge	RING1
CA3-AS1	ceRNA or sponge	PTEN
CACNA1G-AS1	expression association	TP53
CACS15	ceRNA or sponge	ABCC1
CAIF	expression association	IL6
CAIF	expression association	MIR1246
CALML3-AS1	ceRNA or sponge	ZBTB2
CAMTA1-DT	ceRNA or sponge	miR-20b
CAMTA1-DT	epigenetic regulation	CAMTA1
CANT1	epigenetic regulation	FTX
CAR10	ceRNA or sponge	PDPK1
CAR10	ceRNA or sponge	RAB3D
CARL	ceRNA or sponge	PHB2
CARMN	ceRNA or sponge	AXIN2
CASC11	ceRNA or sponge	CDK1
CASC11	expression association	miR-188-5p
CASC11	expression association	miRNA-150
CASC15	ceRNA or sponge	KLF5
CASC15	ceRNA or sponge	KLK12
CASC15	ceRNA or sponge	LGR5
CASC15	ceRNA or sponge	miR-130b-3p
CASC15	ceRNA or sponge	miR-144-3p
CASC15	ceRNA or sponge	miR-34c
CASC15	expression association	VCAN
CASC15	expression association	miR-33a-5p
CASC19	ceRNA or sponge	CEMIP
CASC2	ceRNA or sponge	APC
CASC2	ceRNA or sponge	CDK19
CASC2	ceRNA or sponge	FBXL3
CASC2	ceRNA or sponge	FBXW7
CASC2	ceRNA or sponge	IL17A
CASC2	ceRNA or sponge	KANK1
CASC2	ceRNA or sponge	MIR183
CASC2	ceRNA or sponge	MUC6
CASC2	ceRNA or sponge	PIAS3
CASC2	ceRNA or sponge	PLXNC1
CASC2	ceRNA or sponge	RBBP8
CASC2	ceRNA or sponge	SOCS2
CASC2	ceRNA or sponge	miR-181a
CASC2	ceRNA or sponge	miR-24
CASC2	ceRNA or sponge	miR-362-5p
CASC2	ceRNA or sponge	miR<U+2011>155
CASC2	expression association	RASSF6
CASC2	expression association	TRIM16
CASC2	expression association	miR-24-3p
CASC2	interact with protein	HNRNPD
CASC21	ceRNA or sponge	YAP1
CASC2c	ceRNA or sponge	CPEB1
CASC2c	ceRNA or sponge	miR-101
CASC2c	expression association	ERK1/2
CASC2c	expression association	F10
CASC7	ceRNA or sponge	ING3
CASC7	ceRNA or sponge	miR-30c
CASC8	interact with protein	FGFR1
CASC9	ceRNA or sponge	ADAM9
CASC9	ceRNA or sponge	APOBEC3G
CASC9	ceRNA or sponge	LIN7A
CASC9	epigenetic regulation	LAMC2
CASC9	expression association	miR-424-5p
CASC9-1	ceRNA or sponge	miR-383-5p
CAT104	ceRNA or sponge	ZEB1
CAV1	expression association	HOTAIR
CAVIN2-AS1	expression association	CAVIN2
CBP	epigenetic regulation	GATA3-AS1
CBR3-AS1	ceRNA or sponge	AR
CBR3-AS1	expression association	PHGDH
CBR3-AS1	expression association	TJP1
CCAL	ceRNA or sponge	FOXM1
CCAT1	ceRNA or sponge	ADAM17
CCAT1	ceRNA or sponge	BUB1B
CCAT1	ceRNA or sponge	COMMD3-BMI1
CCAT1	ceRNA or sponge	CPEB2
CCAT1	ceRNA or sponge	HNRNPA1
CCAT1	ceRNA or sponge	ITPKB
CCAT1	ceRNA or sponge	PDGFRA
CCAT1	ceRNA or sponge	PKC¦Æ
CCAT1	ceRNA or sponge	PLK1
CCAT1	ceRNA or sponge	WNT1
CCAT1	ceRNA or sponge	c-MET
CCAT1	ceRNA or sponge	miR-130a-3p
CCAT1	ceRNA or sponge	miR-148b
CCAT1	ceRNA or sponge	miR-152
CCAT1	ceRNA or sponge	miR-219-1
CCAT1	ceRNA or sponge	miR-33a
CCAT1	ceRNA or sponge	miR-410
CCAT1	epigenetic regulation	SPRY4
CCAT1	epigenetic regulation	miR-218
CCAT1	interact with protein	DDR2
CCAT1	transcriptional regulation	miR7-5p
CCAT1-L	expression association	EIF2AK3
CCAT1-L	expression association	ERK
CCAT1-L	expression association	RAS
CCAT1-L	expression association	T-ERK
CCAT2	ceRNA or sponge	IGF2BP2
CCAT2	ceRNA or sponge	miR-216b
CCAT2	expression association	MIR145
CCAT2	expression association	OCT4-PG1
CCAT2	expression association	SMN1
CCAT2	expression association	miR-17-5p
CCAT2	expression association	miR-20a-5p
CCAT2	expression association	p70S6K1
CCDC144NL-AS1	expression association	MMP9
CCDC26	ceRNA or sponge	miR-203
CCDC80	ceRNA or sponge	HOXA10
CCEPR	expression association	CCND1
CCEPR	expression association	MMP7
CCHE1	ceRNA or sponge	PAK2
CCL18	expression association	UCA1
CCL21	expression association	MALAT1
CCND2-AS1	expression association	CDH2
CCNL1	expression association	FOXO1
CCR1	ceRNA or sponge	SUSAJ1
CCR5AS	expression association	CCR5
CDKN2B-AS1	ceRNA or sponge	ABCC1
CDKN2B-AS1	ceRNA or sponge	ARHGAP18
CDKN2B-AS1	ceRNA or sponge	ARL2
CDKN2B-AS1	ceRNA or sponge	BRI3
CDKN2B-AS1	ceRNA or sponge	DUSP4
CDKN2B-AS1	ceRNA or sponge	FRS2
CDKN2B-AS1	ceRNA or sponge	MAP3K3
CDKN2B-AS1	ceRNA or sponge	NAP1L1
CDKN2B-AS1	ceRNA or sponge	STK39
CDKN2B-AS1	ceRNA or sponge	TGFbetaI
CDKN2B-AS1	ceRNA or sponge	TP53BP2
CDKN2B-AS1	ceRNA or sponge	let-7a
CDKN2B-AS1	ceRNA or sponge	miR-122-5p
CDKN2B-AS1	ceRNA or sponge	miR-125a
CDKN2B-AS1	ceRNA or sponge	miR-181a-5p
CDKN2B-AS1	ceRNA or sponge	miR-191
CDKN2B-AS1	ceRNA or sponge	miR-199a
CDKN2B-AS1	ceRNA or sponge	miR-411-3p
CDKN2B-AS1	epigenetic regulation	ERRFI1
CDKN2B-AS1	epigenetic regulation	ZBTB16
CDKN2B-AS1	epigenetic regulation	miR-449a
CDKN2B-AS1	epigenetic regulation	miR-99a-5p
CDKN2B-AS1	expression association	ATM
CDKN2B-AS1	expression association	CARD8
CDKN2B-AS1	expression association	CYCS
CDKN2B-AS1	expression association	Claudin-2
CDKN2B-AS1	expression association	DIABLO
CDKN2B-AS1	expression association	KLF13
CDKN2B-AS1	expression association	MIR4440
CDKN2B-AS1	expression association	MTA1
CDKN2B-AS1	expression association	N-cadherin
CDKN2B-AS1	expression association	SLC2A1
CDKN2B-AS1	expression association	miR-203a
CDKN2B-AS1	expression association	miR-323b-5p
CDKN2B-AS1	expression association	vimentin
CDKN2B-AS1	interact with protein	NOX1
CDKN2B-AS1	interact with protein	WDR5
CDKN2B-AS1	transcriptional regulation	BCL11A
CDKN2B-AS1	transcriptional regulation	MAP4K1
CDR1-AS	ceRNA or sponge	CCNE1
CDR1-AS	ceRNA or sponge	REG¦Ã
CEBPB	interact with protein	HAS2-AS1
CERNA1	expression association	API5
CERNA2	ceRNA or sponge	CDK6
CERNA2	ceRNA or sponge	SYF2
CERNA2	ceRNA or sponge	let-7b
CERNA2	expression association	IMP3
CERS6-AS1	ceRNA or sponge	BAP1
CERS6-AS1	interact with protein	CERS6
CHAR	ceRNA or sponge	AKT1
CHAST	expression association	PLEKHM1
CHRF	ceRNA or sponge	MIR211
CHRF	ceRNA or sponge	SOX6
CHRF	expression association	MIR10B
CHRF	expression association	MIR146A
CHRNB2	expression association	IL-1¦Â
CHROMR	expression association	ABCA1
CHROMR	expression association	MIR33B
CHROMR	expression association	miR-27b
CIR	epigenetic regulation	ATOH8
CISAL	expression association	BRCA1
CISAL	expression association	GABPA
CLMAT3	expression association	CDH1
CLNK	interact with protein	PARP1
CLRN1-AS1	ceRNA or sponge	DKK1
COL1A1	expression association	HOTAIR
COL1A1-014	ceRNA or sponge	miR-1273h-5p
COL1A2-AS1	ceRNA or sponge	SMAD7
COMETT	ceRNA or sponge	SHH
COMMD6	ceRNA or sponge	TEX41
COPDA1	expression association	MS4A1
CP	expression association	IGF2
CPS1-IT1	ceRNA or sponge	CCN1
CPS1-IT1	expression association	CPS1
CR594175	ceRNA or sponge	CTNNB1
CRAL	ceRNA or sponge	CYLD
CRCMSL	interact with protein	HMGB2
CREB1	transcriptional regulation	FOXD2-AS1
CREB3	interact with protein	ZFAS1
CREBBP	transcriptional regulation	HOTAIR
CRNDE	ceRNA or sponge	BCAT1
CRNDE	ceRNA or sponge	IRX5
CRNDE	ceRNA or sponge	MCM5
CRNDE	ceRNA or sponge	NASP
CRNDE	ceRNA or sponge	PAK5
CRNDE	ceRNA or sponge	PIWIL4
CRNDE	ceRNA or sponge	RAP1A
CRNDE	ceRNA or sponge	SIX1
CRNDE	ceRNA or sponge	miR-136
CRNDE	ceRNA or sponge	miR-29c-3p
CRNDE	ceRNA or sponge	miR-338-3p
CRNDE	ceRNA or sponge	miR-384
CRNDE	ceRNA or sponge	miR-451a
CRNDE	interact with protein	HNRNPUL2
CRNDE	transcriptional regulation	BBC3
CRRL	ceRNA or sponge	HOPX
CRYBG3	expression association	ACTN4
CRYBG3	expression association	MTBP
CRYBG3	interact with protein	EEF1A1
CTBP1-AS	ceRNA or sponge	miR-940
CTBP1-AS	epigenetic regulation	CTBP1
